id;user_id;old_value;new_value;operation;date_operation;type_objet
1;2687;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Rustic Metal Chicken Upgradable;2022-07-27T15:07:31;New York
2;26628;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Cotton Sausages;2022-07-28T10:16:40;models azure
3;64870;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;flexibility e-enable;2022-07-27T11:52:52;Applications system
4;91962;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;District benchmark Avon;2022-07-27T21:18:46;end-to-end Utah Secured
5;28523;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Chief;2022-07-27T21:02:01;deposit Viaduct orange
6;71286;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;visualize info-mediaries Corporate;2022-07-28T05:32:42;Wisconsin
7;18926;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Toys;2022-07-28T06:30:23;Station
8;33208;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Home Loan Account Pants;2022-07-28T03:13:48;AGP revolutionary Czech Koruna
9;51383;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;technologies Executive SAS;2022-07-28T02:24:06;Plastic
10;29508;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;mobile JSON generate;2022-07-27T14:50:53;Markets
